Episode,Steps
1,13
2,8
3,12
4,6
5,7
6,7
7,7
8,8
9,8
10,7
11,12
12,12
13,16
14,7
15,12
16,10
17,12
18,9
19,14
20,9
21,10
22,13
23,11
24,6
25,11
26,6
27,7
28,14
29,6
30,6
31,6
32,6
33,8
34,12
35,7
36,8
37,7
38,7
39,7
40,6
41,6
42,6
43,6
44,6
45,6
46,15
47,9
48,15
49,14
50,7
51,9
52,14
53,16
54,13
55,17
56,16
57,15
58,8
59,8
60,7
61,7
62,6
63,11
64,7
65,6
66,7
67,9
68,16
69,16
70,15
71,9
72,10
73,6
74,9
75,12
76,12
77,6
78,6
79,6
80,13
81,10
82,9
83,9
84,9
85,8
86,9
87,11
88,8
89,10
90,7
91,8
92,12
93,8
94,6
95,13
96,7
97,6
98,6
99,6
100,6
101,6
102,6
103,7
104,11
105,14
106,12
107,7
108,7
109,6
110,6
111,6
112,6
113,8
114,6
115,6
116,6
117,6
118,15
119,7
120,6
121,6
122,6
123,7
124,6
125,8
126,6
127,8
128,15
129,9
130,8
131,8
132,11
133,6
134,7
135,9
136,8
137,8
138,6
139,8
140,9
141,16
142,14
143,12
144,7
145,7
146,7
147,8
148,8
149,12
150,8
151,8
