Episode,Epsilon
1,1.0
2,1.0
3,1.0
4,0.985074875
5,0.9416228069143757
6,0.8955869907338783
7,0.8390886103705794
8,0.798065677681905
9,0.7552531090661897
10,0.7219385759785162
11,0.6866430931872001
12,0.6596532430440636
13,0.6242658676435396
14,0.5997278763867329
15,0.5790496471185967
16,0.5590843898207511
17,0.5264466124450268
18,0.4982051627146237
19,0.47622912292284103
20,0.45522245551230495
21,0.41386834584198684
22,0.39561243860243744
23,0.37816180712868996
24,0.3455358541129786
25,0.326999438029567
26,0.3125753549412418
27,0.2987875242397482
28,0.28417984116121187
29,0.26227842021373715
30,0.2457325055235537
31,0.23371867538818816
32,0.21570623976979014
33,0.2031139149609751
34,0.192217783647157
35,0.18373897616330553
36,0.17475600159032884
37,0.16373146555890544
38,0.15650920157696743
39,0.14885748713096328
40,0.14229132060898236
41,0.13601479046086049
42,0.12871821987500112
43,0.1176130407830293
44,0.11412846151764894
45,0.11074712159185099
46,0.10746596228306791
47,0.10272559337455119
48,0.09918368135888474
49,0.09386293109673778
50,0.0888276147181114
51,0.08533607153708872
