Episode,Consigli_Accettati
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,2
18,0
19,0
20,0
21,1
22,2
23,1
24,1
25,0
26,0
27,3
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,2
53,0
54,1
55,2
56,0
57,0
58,0
59,0
60,0
61,2
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,2
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,2
93,1
94,1
95,1
96,3
97,1
98,0
99,1
100,0
101,1
102,2
103,0
104,0
105,2
106,0
107,1
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,2
129,0
130,0
131,0
132,0
133,1
134,1
135,2
136,2
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,2
149,0
150,0
151,1
152,0
153,0
154,2
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,1
176,0
177,1
178,0
179,0
180,0
181,0
182,4
183,1
184,0
185,0
186,1
187,1
188,0
189,0
190,1
191,1
192,1
193,1
194,0
195,1
196,2
197,0
198,2
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,0
220,1
221,1
222,3
223,0
224,2
225,1
226,0
227,1
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,1
236,3
237,0
238,0
239,0
240,1
241,0
242,0
243,2
244,0
245,0
246,0
247,1
248,2
249,1
250,0
251,1
252,1
253,0
254,0
255,1
256,2
257,0
258,0
259,0
260,1
261,1
262,0
263,2
264,1
265,0
266,0
267,0
268,3
269,0
270,1
271,3
272,1
273,2
274,1
275,1
276,2
277,1
278,1
279,1
280,0
281,1
282,1
283,2
284,3
285,0
286,0
287,0
288,4
289,2
290,0
291,1
292,2
293,0
294,0
295,0
296,2
297,2
298,2
299,2
300,2
301,1
302,0
303,1
304,2
305,0
306,0
307,2
308,1
309,1
310,1
311,0
312,2
313,0
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,1
336,3
337,0
338,1
339,2
340,1
341,0
342,0
343,0
344,2
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,2
353,1
354,1
355,0
356,1
357,4
358,1
359,2
360,1
361,0
362,0
363,0
364,2
365,1
366,3
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,2
382,1
383,0
384,1
385,2
386,2
387,2
388,0
389,0
390,0
391,0
392,1
393,1
394,2
395,1
396,1
397,1
398,2
399,0
400,0
401,1
402,2
403,2
404,1
405,1
406,2
407,2
408,0
409,2
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,0
422,2
423,0
424,0
425,0
426,1
427,2
428,1
429,1
430,0
431,1
432,3
433,1
434,1
435,0
436,2
437,0
438,0
439,0
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,2
449,0
450,0
451,2
452,0
453,1
454,0
455,2
456,1
457,0
458,1
459,0
460,0
461,1
462,1
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,0
472,1
473,1
474,2
475,2
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,3
484,2
485,0
486,2
487,1
488,1
489,2
490,3
491,1
492,1
493,1
494,0
495,0
496,2
497,2
498,0
499,2
500,0
