Episode,Reward
1,15
2,40
3,-10
4,10
5,65
6,20
7,-30
8,35
9,10
10,0
11,40
12,75
13,75
14,260
15,315
16,75
17,0
18,80
19,70
20,110
21,25
22,20
23,-10
24,-15
25,-10
26,105
27,95
28,10
29,115
30,35
31,-40
32,-40
33,70
34,25
35,40
36,80
37,55
38,40
39,80
40,-5
41,-20
42,-35
43,-20
44,-5
45,85
46,-55
47,75
48,-35
49,50
50,25
51,95
52,20
53,85
54,10
55,25
56,-30
57,-15
58,60
59,75
60,120
61,185
62,-55
63,-55
64,-55
65,-55
66,180
67,40
68,50
69,90
70,235
71,-40
72,570
73,185
74,-15
75,10
76,35
77,10
78,160
79,-40
80,185
81,-40
82,-15
83,210
84,185
85,125
86,60
87,205
88,205
89,325
90,310
91,185
92,235
93,85
94,235
95,235
96,275
97,235
98,235
99,185
100,185
101,475
102,325
103,85
104,235
105,255
106,60
107,120
108,85
109,210
110,260
111,430
112,210
113,335
114,60
115,-15
116,165
117,260
118,20
119,185
120,435
121,235
122,195
123,365
124,330
125,325
126,350
127,60
128,10
129,300
130,10
131,85
132,325
133,185
134,160
135,530
136,175
137,110
138,430
139,60
140,185
141,235
142,-5
143,260
144,95
145,290
146,530
147,30
148,110
149,275
150,160
151,670
152,420
153,290
154,10
155,305
156,385
157,310
158,85
159,365
160,315
161,225
162,240
163,395
164,290
165,380
166,430
167,245
168,440
169,125
170,365
171,530
172,350
173,415
174,395
175,605
176,175
177,320
178,340
179,340
180,215
181,440
182,515
183,250
184,175
185,325
186,140
187,340
188,515
189,175
190,480
191,390
192,50
193,490
194,340
195,140
196,560
197,440
198,330
199,465
200,285
201,390
202,485
203,125
204,175
205,365
206,325
207,440
208,375
209,215
210,200
211,325
212,225
213,380
214,340
215,255
216,340
217,415
218,225
219,205
220,480
221,175
222,670
223,250
224,350
225,505
226,150
227,505
228,475
229,200
230,160
231,505
232,250
233,275
234,185
235,235
236,595
237,115
238,200
239,490
240,300
241,350
242,265
243,425
244,225
245,185
246,530
247,225
248,250
249,200
250,130
251,255
252,445
253,490
254,300
255,455
256,300
257,275
258,465
259,440
260,225
261,115
262,405
263,150
264,175
265,365
266,250
267,250
268,340
269,375
270,480
271,340
272,300
273,295
274,155
275,140
276,135
277,465
278,210
279,355
280,110
281,515
282,235
283,275
284,270
285,285
286,300
287,235
288,320
289,365
290,290
291,555
292,80
293,390
294,150
295,305
296,485
297,260
298,315
299,465
300,390
301,465
302,275
303,215
304,265
305,110
306,540
307,265
308,300
309,415
310,370
311,440
312,325
313,440
314,290
315,475
316,540
317,365
318,285
319,415
320,450
321,440
322,565
323,310
324,480
325,290
326,495
327,365
328,465
329,285
330,490
331,350
332,275
333,400
334,275
335,210
336,230
337,285
338,430
339,375
340,215
341,275
342,295
343,425
344,165
345,200
346,555
347,175
348,250
349,300
350,235
351,325
352,415
353,420
354,450
355,440
356,265
357,470
358,205
359,380
360,350
361,440
362,235
363,275
364,365
365,225
366,280
367,310
368,425
369,500
370,275
371,375
372,350
373,260
374,350
375,280
376,235
377,275
378,515
379,325
380,260
381,265
382,315
383,350
384,520
385,260
386,570
387,265
388,285
389,220
390,350
391,475
392,490
393,465
394,440
395,175
396,350
397,235
398,300
399,285
400,360
401,450
402,515
403,565
404,290
405,300
406,310
407,530
408,540
409,380
410,375
411,215
412,325
413,285
414,240
415,325
416,565
417,325
418,490
419,350
420,500
421,450
422,475
423,485
424,285
425,200
426,310
427,525
428,450
429,285
430,310
431,300
432,530
433,360
434,285
435,450
436,375
437,500
438,235
439,440
440,210
441,490
442,515
443,465
444,380
445,395
446,415
447,260
448,390
449,220
450,300
451,275
452,565
453,285
454,405
455,370
456,430
457,475
458,310
459,490
460,315
461,300
462,310
463,310
464,325
465,400
466,350
467,375
468,545
469,235
470,330
471,405
472,240
473,145
474,260
475,440
476,410
477,310
478,260
479,310
480,285
481,200
482,380
483,465
484,350
485,475
486,350
487,210
488,165
489,240
490,525
491,465
492,575
493,490
494,285
495,475
496,425
497,280
498,115
499,245
500,160
