Episode,Steps
1,7
2,8
3,6
4,6
5,9
6,6
7,8
8,9
9,6
10,6
11,6
12,10
13,6
14,7
15,11
16,12
17,8
18,15
19,14
20,17
21,9
22,9
23,11
24,10
25,9
26,17
27,14
28,13
29,17
30,9
31,9
32,9
33,15
34,10
35,12
36,14
37,15
38,12
39,12
40,9
41,8
42,7
43,8
44,9
45,14
46,8
47,13
48,9
49,8
50,8
51,10
52,10
53,14
54,16
55,12
56,8
57,10
58,18
59,15
60,13
61,16
62,7
63,8
64,7
65,9
66,12
67,6
68,6
69,8
70,18
71,9
72,21
73,17
74,11
75,15
76,11
77,13
78,17
79,9
80,16
81,9
82,10
83,17
84,15
85,20
86,12
87,13
88,13
89,30
90,19
91,15
92,17
93,12
94,17
95,18
96,23
97,17
98,17
99,16
100,14
101,33
102,30
103,14
104,17
105,25
106,14
107,12
108,12
109,15
110,19
111,30
112,17
113,20
114,12
115,9
116,13
117,18
118,9
119,12
120,28
121,22
122,27
123,26
124,26
125,28
126,23
127,14
128,17
129,23
130,16
131,14
132,19
133,15
134,14
135,31
136,14
137,14
138,29
139,15
140,17
141,24
142,15
143,26
144,20
145,24
146,33
147,11
148,16
149,26
150,14
151,34
152,28
153,25
154,16
155,25
156,20
157,28
158,17
159,27
160,26
161,22
162,25
163,28
164,25
165,24
166,27
167,26
168,27
169,18
170,25
171,28
172,24
173,26
174,27
175,31
176,18
177,26
178,25
179,25
180,21
181,26
182,26
183,22
184,22
185,23
186,22
187,26
188,28
189,21
190,28
191,23
192,16
193,27
194,23
195,20
196,31
197,26
198,26
199,27
200,28
201,26
202,27
203,17
204,22
205,24
206,21
207,27
208,24
209,22
210,22
211,23
212,23
213,26
214,25
215,22
216,25
217,26
218,21
219,23
220,28
221,21
222,34
223,22
224,23
225,28
226,19
227,29
228,24
229,21
230,19
231,27
232,23
233,20
234,20
235,21
236,31
237,18
238,22
239,27
240,23
241,24
242,25
243,24
244,22
245,18
246,30
247,22
248,22
249,21
250,22
251,21
252,27
253,26
254,21
255,26
256,22
257,22
258,27
259,24
260,21
261,17
262,24
263,22
264,17
265,24
266,21
267,21
268,23
269,24
270,26
271,24
272,20
273,21
274,21
275,19
276,22
277,28
278,19
279,23
280,16
281,27
282,19
283,22
284,23
285,20
286,22
287,21
288,23
289,24
290,22
291,28
292,18
293,26
294,19
295,23
296,27
297,22
298,23
299,24
300,24
301,26
302,23
303,21
304,22
305,16
306,27
307,19
308,22
309,23
310,27
311,23
312,23
313,24
314,23
315,25
316,27
317,26
318,19
319,23
320,24
321,24
322,28
323,18
324,26
325,24
326,26
327,24
328,29
329,18
330,27
331,22
332,22
333,24
334,23
335,18
336,23
337,19
338,26
339,24
340,19
341,23
342,22
343,28
344,19
345,21
346,30
347,20
348,21
349,20
350,17
351,21
352,24
353,26
354,24
355,23
356,19
357,26
358,22
359,24
360,25
361,25
362,20
363,23
364,24
365,23
366,23
367,17
368,24
369,25
370,20
371,24
372,23
373,19
374,26
375,20
376,19
377,22
378,27
379,22
380,19
381,20
382,22
383,20
384,28
385,19
386,29
387,21
388,20
389,17
390,23
391,24
392,26
393,24
394,28
395,17
396,23
397,18
398,23
399,20
400,20
401,24
402,26
403,28
404,21
405,22
406,19
407,27
408,27
409,25
410,23
411,19
412,23
413,20
414,19
415,19
416,28
417,23
418,27
419,22
420,25
421,23
422,25
423,29
424,18
425,22
426,19
427,30
428,23
429,20
430,19
431,21
432,28
433,21
434,20
435,24
436,24
437,25
438,21
439,27
440,18
441,26
442,28
443,25
444,23
445,27
446,26
447,20
448,24
449,24
450,23
451,23
452,29
453,19
454,24
455,26
456,23
457,24
458,18
459,27
460,23
461,22
462,18
463,19
464,23
465,24
466,20
467,23
468,28
469,16
470,23
471,24
472,31
473,15
474,18
475,26
476,21
477,21
478,19
479,20
480,19
481,18
482,23
483,27
484,22
485,25
486,23
487,20
488,16
489,19
490,26
491,27
492,22
493,25
494,18
495,24
496,24
497,21
498,20
499,23
500,18
