Episode,Consigli_Accettati
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,3
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,2
83,1
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,1
