Episode,Steps
1,6
2,9
3,8
4,18
5,7
6,9
7,7
8,10
9,8
10,13
11,12
12,7
13,9
14,17
15,10
16,7
17,10
18,10
19,13
20,7
21,6
22,13
23,11
24,9
25,10
26,8
27,11
28,10
29,12
30,9
31,8
32,15
33,15
34,8
35,6
36,6
37,9
38,6
39,12
40,6
41,6
42,8
43,7
44,14
45,14
46,11
47,7
48,7
49,15
50,7
51,15
52,16
53,10
54,10
55,8
56,10
57,15
58,12
59,9
60,10
61,10
62,17
63,18
64,16
65,21
66,18
67,9
68,10
69,16
70,10
71,9
72,21
73,18
74,14
75,17
76,25
77,11
78,11
79,14
80,9
81,13
82,28
83,25
84,20
85,16
86,9
87,23
88,15
89,9
90,8
91,14
92,20
93,15
94,18
95,10
96,16
97,26
98,19
99,22
100,15
101,25
102,14
103,12
104,15
105,16
106,16
107,13
108,15
109,20
110,14
111,30
112,16
113,32
114,24
115,23
116,28
117,22
118,31
119,12
120,31
121,25
122,14
123,16
124,23
125,14
126,27
127,14
128,13
129,28
130,18
131,24
132,13
133,16
134,25
135,18
136,16
137,29
138,26
139,21
140,21
141,27
142,23
143,16
144,26
145,28
146,19
147,25
148,34
149,21
150,17
151,16
152,27
153,21
154,22
155,21
156,25
157,27
158,18
159,27
160,24
161,18
162,13
163,18
164,22
165,31
166,21
167,17
168,34
169,27
170,17
171,15
172,26
173,27
174,17
175,18
176,28
177,27
178,28
179,23
180,27
181,29
182,20
183,21
184,25
185,27
186,25
187,23
188,26
189,27
190,18
191,17
192,27
193,19
194,19
195,21
196,27
197,22
198,35
199,26
200,26
201,28
202,26
203,25
204,28
205,23
206,29
207,33
208,21
209,25
210,22
211,26
212,21
213,22
214,29
215,22
216,21
217,19
218,29
219,15
220,19
221,35
222,34
223,20
224,26
225,31
226,26
227,17
228,27
229,22
230,21
231,17
232,26
233,23
234,26
235,20
236,24
237,28
238,25
239,25
240,22
241,17
242,17
243,22
244,22
245,29
246,22
247,27
248,23
249,24
250,23
251,28
252,22
253,19
254,27
255,21
256,20
257,20
258,28
259,18
260,20
261,31
262,22
263,18
264,22
265,27
266,27
267,23
268,22
269,22
270,22
271,26
272,26
273,30
274,21
275,17
276,27
277,25
278,22
279,20
280,28
281,21
282,17
283,28
284,17
285,18
286,23
287,19
288,22
289,27
290,17
291,25
292,24
293,22
294,19
295,23
296,24
297,28
298,18
299,22
300,24
301,19
302,15
303,23
304,19
305,23
306,26
307,26
308,28
309,18
310,22
311,28
312,17
313,18
314,21
315,27
316,25
317,23
318,22
319,27
320,23
321,19
322,24
323,21
324,22
325,26
326,18
327,18
328,18
329,17
330,19
331,22
332,28
333,24
334,18
335,22
336,27
337,27
338,21
339,23
340,24
341,26
342,24
343,28
344,19
345,25
346,23
347,17
348,18
349,22
350,18
351,25
352,24
353,23
354,22
355,24
356,19
357,27
358,21
359,27
360,23
361,24
362,22
363,18
364,24
365,24
366,25
367,28
368,14
369,24
370,28
371,27
372,23
373,22
374,19
375,23
376,22
377,25
378,26
379,18
380,23
381,22
382,24
383,24
384,18
385,20
386,23
387,23
388,29
389,28
390,19
391,28
392,26
393,19
394,23
395,22
396,22
397,18
398,23
399,20
400,24
401,22
402,23
403,26
404,25
405,19
406,30
407,19
408,17
409,22
410,18
411,22
412,22
413,18
414,22
415,22
416,20
417,20
418,27
419,24
420,24
421,26
422,24
423,27
424,18
425,18
426,23
427,27
428,19
429,22
430,23
431,26
432,19
433,22
434,19
435,23
436,22
437,22
438,31
439,17
440,31
441,28
442,19
443,22
444,22
445,23
446,23
447,22
448,25
449,23
450,16
451,22
452,18
453,23
454,18
455,19
456,26
457,22
458,23
459,24
460,18
461,20
462,26
463,26
464,27
465,22
466,24
467,19
468,28
469,22
470,22
471,24
472,16
473,25
474,35
475,23
476,23
477,21
478,20
479,27
480,20
481,17
482,18
483,23
484,22
485,23
486,18
487,19
488,26
489,17
490,24
491,22
492,20
493,27
494,24
495,25
496,23
497,22
498,20
499,24
500,22
501,18
502,18
503,24
504,20
505,18
506,27
507,15
508,18
509,24
510,20
511,29
512,18
513,20
514,18
515,29
516,19
517,23
518,24
519,18
520,26
521,24
522,28
523,18
524,24
525,22
526,22
527,18
528,21
529,23
530,28
531,21
532,20
533,20
534,16
535,24
536,22
537,28
538,21
539,23
540,23
541,19
542,22
543,26
544,17
545,19
546,27
547,24
548,24
549,19
550,23
551,21
552,23
553,26
554,28
555,19
556,20
557,25
558,22
559,23
560,25
561,24
562,18
563,22
564,19
565,23
566,19
567,18
568,23
569,19
570,18
571,26
572,19
573,26
574,17
575,20
576,23
577,23
578,24
579,20
580,23
581,24
582,18
583,19
584,27
585,21
586,19
587,19
588,22
589,19
590,19
591,20
592,21
593,21
594,19
595,28
596,26
597,24
598,26
599,21
600,18
601,16
602,22
603,18
604,24
605,18
606,19
607,18
608,19
609,26
610,27
611,21
612,18
613,18
614,24
615,16
616,22
617,11
618,26
619,22
620,22
621,18
622,26
623,19
624,25
625,23
626,25
627,24
628,22
629,28
630,26
631,19
632,20
633,19
634,27
635,20
636,19
637,24
638,27
639,20
640,25
641,24
642,23
643,23
644,25
645,26
646,20
647,20
648,17
649,15
650,24
651,18
652,14
653,24
654,20
655,21
656,24
657,19
658,19
659,26
660,20
661,25
662,28
663,28
664,23
665,19
666,19
667,18
668,27
669,19
670,18
671,22
672,19
673,19
674,18
675,21
676,27
677,27
678,23
679,25
680,19
681,23
682,20
683,18
684,27
685,23
686,24
687,23
688,24
689,17
690,35
691,27
692,23
693,18
694,18
695,23
696,24
697,19
698,25
699,20
700,28
701,20
702,23
703,22
704,19
705,26
706,23
707,21
708,27
709,24
710,21
711,21
712,19
713,27
714,21
715,20
716,20
717,23
718,18
719,25
720,28
721,21
722,22
723,29
724,24
725,27
726,19
727,20
728,18
729,28
730,24
731,22
732,17
733,19
734,25
735,19
736,20
737,20
738,20
739,18
740,23
741,25
742,21
743,18
744,20
745,26
746,20
747,20
748,23
749,26
750,19
751,22
752,21
753,20
754,19
755,23
756,20
757,23
758,18
759,18
760,16
761,20
762,21
763,21
764,20
765,23
766,23
767,15
768,19
769,20
770,21
771,18
772,27
773,20
774,16
775,24
776,24
777,29
778,25
779,24
780,22
781,19
782,21
783,19
784,15
785,24
786,19
787,23
788,22
789,21
790,17
791,16
792,26
793,18
794,23
795,19
796,18
797,19
798,22
799,18
800,19
801,22
802,20
803,16
804,22
805,19
806,22
807,15
808,19
809,20
810,21
811,24
812,19
813,22
814,24
815,26
816,20
817,27
818,22
819,22
820,26
821,22
822,27
823,18
824,26
825,23
826,19
827,19
828,23
829,24
830,24
831,18
832,21
833,21
834,24
835,25
836,15
837,22
838,21
839,19
840,25
841,20
842,21
843,17
844,21
845,22
846,21
847,24
848,19
849,21
850,19
851,18
852,26
853,20
854,24
855,19
856,22
857,19
858,26
859,22
860,19
861,17
862,19
863,19
864,18
865,18
866,17
867,18
868,14
869,17
870,18
871,19
872,19
873,19
874,17
875,23
876,27
877,22
878,18
879,18
880,23
881,18
882,20
883,24
884,20
885,25
886,19
887,22
888,19
889,18
890,21
891,23
892,23
893,23
894,21
895,25
896,21
897,21
898,27
899,25
900,20
901,24
902,19
903,23
904,20
905,24
906,19
907,23
908,21
909,30
910,21
911,21
912,22
913,23
914,23
915,19
916,27
917,19
918,22
919,19
920,20
921,24
922,24
923,18
924,18
925,18
926,21
927,24
928,21
929,20
930,22
931,21
932,23
933,24
934,21
935,24
936,21
937,20
938,20
939,19
940,16
941,19
942,20
943,20
944,22
945,19
946,22
947,23
948,20
949,21
950,24
951,23
952,24
953,26
954,16
955,19
956,34
957,19
958,31
959,17
960,21
961,26
962,20
963,19
964,27
965,24
966,23
967,28
968,24
969,22
970,24
971,19
972,24
973,26
974,18
975,20
976,23
977,21
978,21
979,19
980,21
981,25
982,19
983,20
984,26
985,19
986,34
987,26
988,23
989,24
990,19
991,21
992,23
993,23
994,23
995,18
996,26
997,18
998,18
999,19
1000,24
1001,26
1002,27
1003,20
1004,23
1005,20
1006,20
1007,23
1008,19
1009,17
1010,14
1011,20
1012,18
1013,19
1014,22
1015,19
1016,17
1017,24
1018,21
1019,18
1020,27
1021,21
1022,19
1023,18
1024,24
1025,19
1026,24
1027,18
1028,24
1029,25
1030,17
1031,29
1032,23
1033,18
1034,27
1035,20
1036,19
1037,18
1038,28
1039,23
1040,18
1041,25
1042,19
1043,21
1044,27
1045,20
1046,19
1047,25
1048,25
1049,20
1050,20
1051,20
