Episode,Reward
1,20
2,5
3,50
4,140
5,-10
6,-25
7,50
8,305
9,25
10,110
11,65
12,-35
13,50
14,120
15,0
16,10
17,10
18,-10
19,65
20,-30
21,-40
22,65
23,80
24,-5
25,10
26,240
27,10
28,10
29,50
30,255
31,240
32,40
33,70
34,-20
35,-50
36,-35
37,-10
38,-50
39,55
40,0
41,25
42,55
43,50
44,90
45,120
46,50
47,-20
48,225
49,115
50,250
51,55
52,135
53,0
54,0
55,275
56,315
57,160
58,365
59,265
60,20
61,70
62,100
63,200
64,150
65,270
66,145
67,-40
68,10
69,70
70,-25
71,-40
72,275
73,75
74,80
75,205
76,355
77,-25
78,10
79,85
80,-40
81,55
82,385
83,225
84,240
85,95
86,-15
87,350
88,55
89,-40
90,-55
91,385
92,255
93,70
94,70
95,-40
96,245
97,320
98,270
99,280
100,70
101,355
102,70
103,75
104,130
105,150
106,150
107,40
108,65
109,245
110,55
111,455
112,115
113,545
114,280
115,250
116,395
117,220
118,200
119,40
120,425
121,290
122,60
123,150
124,290
125,60
126,440
127,85
128,25
129,430
130,70
131,285
132,70
133,155
134,355
135,80
136,40
137,455
138,405
139,55
140,155
141,445
142,205
143,85
144,430
145,430
146,85
147,315
148,515
149,125
150,40
151,90
152,395
153,105
154,120
155,115
156,265
157,465
158,110
159,465
160,255
161,150
162,25
163,65
164,265
165,630
166,175
167,160
168,695
169,370
170,115
171,85
172,415
173,465
174,135
175,110
176,530
177,415
178,390
179,335
180,440
181,530
182,130
183,150
184,350
185,515
186,195
187,280
188,420
189,515
190,150
191,160
192,490
193,150
194,160
195,175
196,440
197,300
198,720
199,390
200,440
201,515
202,440
203,315
204,465
205,400
206,555
207,585
208,130
209,245
210,230
211,365
212,325
213,325
214,515
215,265
216,250
217,335
218,480
219,235
220,260
221,710
222,670
223,175
224,420
225,545
226,205
227,160
228,515
229,250
230,150
231,160
232,440
233,375
234,415
235,260
236,415
237,565
238,330
239,490
240,230
241,185
242,140
243,130
244,315
245,515
246,265
247,415
248,290
249,375
250,315
251,490
252,340
253,140
254,515
255,225
256,285
257,300
258,565
259,310
260,250
261,580
262,275
263,285
264,300
265,465
266,365
267,300
268,215
269,325
270,290
271,490
272,515
273,455
274,175
275,135
276,515
277,330
278,275
279,200
280,515
281,200
282,210
283,515
284,185
285,225
286,375
287,285
288,400
289,440
290,140
291,295
292,390
293,275
294,260
295,375
296,465
297,490
298,210
299,300
300,400
301,300
302,135
303,375
304,260
305,350
306,515
307,490
308,390
309,260
310,325
311,515
312,210
313,160
314,250
315,480
316,390
317,365
318,315
319,455
320,300
321,210
322,375
323,250
324,275
325,480
326,235
327,260
328,135
329,125
330,215
331,250
332,480
333,405
334,185
335,350
336,440
337,385
338,200
339,275
340,405
341,365
342,375
343,540
344,250
345,440
346,275
347,210
348,105
349,225
350,235
351,425
352,375
353,390
354,230
355,375
356,225
357,490
358,220
359,440
360,300
361,375
362,250
363,310
364,425
365,265
366,220
367,555
368,435
369,415
370,490
371,490
372,450
373,325
374,140
375,350
376,275
377,500
378,415
379,115
380,350
381,230
382,400
383,465
384,190
385,240
386,320
387,295
388,390
389,490
390,225
391,540
392,360
393,300
394,350
