Episode,Reward
1,90
2,255
3,70
4,135
5,75
6,50
7,15
8,0
9,-25
10,330
11,235
12,25
13,-25
14,90
15,105
16,0
17,20
18,5
19,-5
20,-55
21,10
22,50
23,-55
24,35
25,70
26,-40
27,-55
28,-40
29,-30
30,125
31,115
32,25
33,10
34,10
35,35
36,70
37,95
38,-5
39,10
40,-5
41,-5
42,-5
43,40
44,170
45,30
46,40
47,205
48,85
49,85
50,85
51,85
52,-10
53,-10
54,-10
55,70
56,40
57,25
58,-20
59,55
60,50
61,10
62,35
63,0
64,35
65,35
66,35
67,60
68,35
69,35
70,35
71,60
72,60
73,-40
74,10
75,-40
76,60
77,75
78,85
79,60
80,110
81,135
82,50
83,85
84,110
85,35
86,10
87,10
88,10
89,35
90,80
91,10
92,10
93,160
94,345
95,260
96,235
97,315
98,90
99,85
100,60
101,85
102,220
103,110
104,110
105,185
106,115
107,50
108,170
109,160
110,140
111,110
112,160
113,195
114,235
115,310
116,135
117,285
118,185
119,110
120,135
121,200
122,235
123,285
124,300
125,85
126,85
127,110
128,235
129,160
130,260
131,170
132,145
133,170
134,210
135,360
136,220
137,480
138,285
139,530
140,335
141,215
142,260
143,285
144,560
145,245
146,725
147,240
148,220
149,410
150,255
151,180
152,490
153,235
154,580
155,520
156,375
157,170
158,175
159,90
160,515
161,455
162,335
163,390
164,290
165,365
166,440
167,175
168,175
169,325
170,245
171,185
172,85
173,415
174,440
175,125
176,415
177,515
178,150
179,275
180,390
181,365
182,325
183,270
184,395
185,420
186,480
187,50
188,235
189,240
190,135
191,390
192,440
193,365
194,270
195,250
196,365
197,225
198,405
199,295
200,355
201,340
202,325
203,350
204,250
205,455
206,275
207,515
208,340
209,260
210,540
211,275
212,285
213,225
214,490
215,205
216,450
217,610
218,480
219,225
220,215
221,545
222,180
223,405
224,300
225,440
226,465
227,300
228,270
229,315
230,210
231,260
232,240
233,300
234,395
235,190
236,440
237,290
238,85
239,100
240,630
241,175
242,515
243,365
244,235
245,515
246,415
247,215
248,175
249,400
250,415
251,440
252,520
253,265
254,255
255,215
256,470
257,350
258,515
259,375
260,250
261,490
262,150
263,365
264,350
265,250
266,250
267,300
268,190
269,285
270,450
271,175
272,300
273,515
274,200
275,160
276,570
277,170
278,190
279,340
280,440
281,465
282,275
283,200
284,490
285,425
286,480
287,555
288,300
289,540
290,440
291,380
292,465
293,200
294,310
295,355
296,520
297,520
298,420
299,375
300,440
301,160
302,465
303,225
304,325
305,595
306,300
307,225
308,330
309,250
310,275
311,265
312,215
313,195
314,415
315,375
316,210
317,450
318,235
319,275
320,255
321,380
322,230
323,150
324,405
325,380
326,325
327,540
328,490
329,440
330,385
331,95
332,330
333,350
334,310
335,335
336,430
337,255
338,240
339,290
340,430
341,420
342,410
343,325
344,260
345,380
346,405
347,370
348,240
349,315
350,380
351,300
352,425
353,300
354,425
355,495
356,150
357,330
358,275
359,325
360,320
361,345
362,150
363,205
364,275
365,440
366,250
367,265
368,315
369,375
370,540
371,495
372,455
373,190
374,225
375,390
376,480
377,335
378,360
379,285
380,495
381,250
382,365
383,470
384,340
385,505
386,240
387,335
388,455
389,200
390,225
391,240
392,285
393,325
394,285
395,265
396,575
397,275
398,455
399,190
400,275
401,525
402,290
403,285
404,400
405,300
406,310
407,300
408,390
409,275
410,425
411,165
412,310
413,380
414,395
415,355
416,260
417,405
418,375
419,375
420,225
421,350
422,360
423,425
424,165
425,355
426,215
427,240
428,335
429,400
430,465
431,280
432,365
433,455
434,290
435,330
436,250
437,490
438,455
439,265
440,275
441,240
442,300
443,225
444,260
445,385
446,475
447,515
448,475
449,235
450,265
451,215
452,160
453,290
454,175
455,235
456,335
457,325
458,425
459,275
460,350
461,225
462,300
463,450
464,420
465,490
466,465
467,405
468,405
469,300
470,380
471,275
472,135
473,100
474,480
475,200
476,140
477,260
478,465
479,285
480,425
481,275
482,360
483,315
484,240
485,260
486,290
487,215
488,220
489,370
490,265
491,500
492,240
493,215
494,275
495,285
496,325
497,350
498,395
499,275
500,425
501,290
502,350
503,235
504,325
505,275
506,215
507,285
508,425
509,275
510,440
511,440
512,430
513,240
514,440
515,330
516,165
517,300
518,415
519,260
520,300
521,360
522,475
523,250
524,390
525,300
526,335
527,290
528,240
529,195
530,250
531,240
532,250
533,260
534,285
535,90
536,350
537,400
538,380
539,340
540,355
541,290
542,275
543,215
544,310
545,240
546,250
547,225
548,300
549,440
550,315
551,215
552,275
553,305
554,205
555,190
556,425
557,365
558,180
559,265
560,360
561,275
562,290
563,215
564,265
565,310
566,215
567,335
568,340
569,250
570,335
571,285
572,350
573,305
574,405
575,275
576,325
577,290
578,380
579,350
580,310
581,440
582,405
583,500
584,300
585,250
586,255
587,430
588,215
589,450
590,405
591,315
592,325
593,285
594,385
595,325
596,450
597,250
598,360
599,325
600,455
601,450
602,300
603,335
604,350
605,240
606,310
607,405
608,275
609,240
610,335
611,300
612,335
613,235
614,225
615,300
616,300
617,360
618,250
619,265
620,325
621,265
622,240
623,245
624,400
625,285
626,375
627,240
628,300
629,265
630,290
631,325
632,290
633,285
634,250
635,205
636,240
637,475
638,215
639,450
640,290
641,335
642,300
643,335
644,290
645,290
646,330
647,300
648,360
649,335
650,285
651,300
652,390
653,285
654,300
655,275
656,405
657,470
658,380
659,360
660,240
661,325
662,325
663,335
664,350
665,335
666,335
667,290
668,440
669,290
670,325
671,325
672,150
673,355
674,215
675,275
676,300
677,500
678,325
679,335
680,275
681,390
682,265
683,275
684,360
685,360
686,290
687,205
688,295
689,190
690,425
691,290
692,215
693,465
694,265
695,265
696,335
697,340
698,300
699,265
700,215
701,375
702,310
703,265
704,475
705,265
706,405
707,325
708,490
709,350
710,275
711,325
712,335
713,85
714,335
715,360
716,325
717,350
718,265
719,310
720,335
721,335
722,265
723,300
724,325
725,215
726,490
727,300
728,240
729,290
730,425
731,325
732,315
733,140
734,310
735,240
736,310
737,620
738,300
739,300
740,300
741,275
742,315
743,310
744,310
745,245
746,310
747,285
748,360
749,300
750,225
751,240
752,490
753,280
754,565
755,335
756,335
757,360
758,315
759,310
760,335
761,520
762,300
763,305
764,265
765,220
766,275
767,360
768,335
769,145
770,335
771,310
772,360
773,300
774,265
775,335
776,360
777,335
778,285
779,455
780,360
781,305
782,360
783,350
784,285
785,335
786,335
787,335
788,310
789,475
790,335
791,300
792,275
793,250
794,290
795,450
796,385
797,360
798,300
799,360
800,350
801,350
