Episode,Consigli_Accettati
1,11
2,14
3,5
4,6
5,9
6,17
7,6
8,9
9,18
10,13
11,14
12,4
13,23
14,4
15,18
16,12
17,21
18,19
19,29
20,18
21,35
22,32
23,17
24,21
25,31
26,32
27,17
28,32
29,20
30,34
31,29
32,37
33,30
34,33
35,27
36,35
37,36
38,2
39,19
40,13
41,26
42,35
43,33
44,24
45,30
46,4
47,8
48,21
49,37
50,32
51,11
52,20
53,27
54,11
55,26
56,31
57,30
58,31
59,13
60,33
61,36
62,22
63,27
64,35
65,36
66,32
67,28
68,28
69,33
70,30
71,37
72,33
73,25
74,37
75,20
76,24
77,29
78,26
79,34
80,25
81,25
82,34
83,29
84,29
85,34
86,28
87,33
88,33
89,28
90,27
91,31
92,30
93,27
94,27
95,30
96,11
97,28
98,35
99,30
100,34
101,19
