Episode,Reward
1,370
2,115
3,420
4,190
5,185
6,30
7,30
8,515
9,10
10,610
11,310
12,540
13,290
14,420
15,30
16,40
17,90
18,235
19,550
20,170
21,225
22,385
23,410
24,460
25,230
26,385
27,225
28,315
29,275
30,230
31,215
32,270
33,410
34,365
35,190
36,190
37,380
38,190
39,350
40,415
41,300
42,435
43,490
44,185
45,395
46,330
47,210
48,315
49,485
50,335
51,615
52,535
53,380
54,185
55,410
56,390
57,410
58,325
59,715
60,535
61,525
62,600
63,710
64,775
65,565
66,675
67,695
68,585
69,470
70,175
71,450
72,650
73,700
74,700
75,670
76,725
77,660
78,725
79,675
80,590
81,310
82,660
83,750
84,700
85,725
86,725
87,525
88,740
89,710
90,705
91,650
92,745
93,710
94,665
95,675
96,785
97,695
98,690
99,710
100,500
101,675
