Episode,Steps
1,24
2,11
3,15
4,13
5,16
6,6
7,6
8,21
9,6
10,24
11,20
12,29
13,18
14,24
15,6
16,6
17,10
18,16
19,29
20,12
21,19
22,27
23,15
24,17
25,17
26,22
27,17
28,22
29,20
30,17
31,17
32,20
33,15
34,22
35,6
36,17
37,24
38,17
39,21
40,22
41,21
42,25
43,27
44,16
45,26
46,21
47,18
48,20
49,27
50,22
51,33
52,29
53,26
54,16
55,26
56,24
57,15
58,10
59,37
60,31
61,30
62,33
63,37
64,38
65,31
66,36
67,34
68,32
69,25
70,14
71,29
72,36
73,36
74,36
75,33
76,38
77,33
78,36
79,37
80,22
81,18
82,33
83,37
84,36
85,36
86,37
87,27
88,39
89,27
90,38
91,36
92,29
93,37
94,25
95,36
96,38
97,36
98,35
99,37
100,25
101,36
