Episode,Steps
1,7
2,6
3,13
4,11
5,16
6,17
7,7
8,6
9,19
10,22
11,12
12,27
13,11
14,14
15,29
16,25
17,18
18,26
19,23
20,23
21,25
22,19
23,28
24,17
25,26
26,36
27,37
28,30
29,30
30,28
31,28
32,36
33,32
34,27
35,39
36,30
37,28
38,30
39,27
40,31
41,27
42,32
43,26
44,34
45,26
46,34
47,34
48,23
49,36
50,33
51,24
52,35
53,32
54,24
55,37
56,27
57,20
58,31
59,25
60,20
61,33
62,26
63,22
64,32
65,36
66,33
67,33
68,34
69,37
70,33
71,23
72,27
73,35
74,39
75,35
76,28
77,34
78,24
79,32
80,37
81,30
82,33
83,36
84,24
85,37
86,19
87,33
88,35
89,23
90,25
91,36
92,37
93,22
94,37
95,27
96,34
97,36
98,20
99,36
100,37
101,32
102,8
103,35
104,38
105,36
106,38
107,37
108,34
109,23
110,30
111,32
112,35
113,34
114,28
115,18
116,36
117,25
118,24
119,34
120,35
121,31
122,35
123,30
124,17
125,27
126,32
127,26
128,20
129,31
130,22
131,22
132,35
133,38
134,33
135,34
136,33
137,33
138,29
139,29
140,27
141,19
142,29
143,25
144,32
145,26
146,32
147,38
148,31
149,31
150,28
151,23
152,31
153,35
154,33
155,33
156,35
157,32
158,32
159,29
160,35
161,27
162,24
163,37
164,32
165,29
166,30
167,33
168,32
169,38
170,28
171,32
172,33
173,35
174,25
175,24
176,34
177,37
178,33
179,26
180,29
181,36
182,30
183,28
184,34
185,26
186,30
187,35
188,34
189,34
190,29
191,26
192,34
193,30
194,32
195,36
196,31
197,34
198,29
199,32
200,37
201,34
202,29
203,31
204,36
205,25
206,28
207,33
208,32
209,37
210,38
211,21
212,36
213,37
214,33
215,26
216,38
217,37
218,34
219,37
220,36
221,35
222,31
223,25
224,32
225,36
226,29
227,31
228,34
229,27
230,21
231,33
232,35
233,25
234,33
235,37
236,36
237,23
238,30
239,36
240,29
241,31
242,37
243,32
244,32
245,31
246,37
247,29
248,33
249,18
250,20
251,29
252,33
253,29
254,32
255,25
256,27
257,35
258,20
259,23
260,34
261,30
262,38
263,31
264,38
265,22
266,34
267,30
268,36
269,36
270,35
271,28
272,29
273,35
274,33
275,37
276,35
277,38
278,36
279,35
280,35
281,31
282,32
283,34
284,25
285,27
286,33
287,35
288,32
289,33
290,36
291,37
292,34
293,38
294,37
295,36
296,35
297,36
298,35
299,27
300,36
301,37
302,34
303,28
304,23
305,33
306,38
307,36
308,31
309,32
310,37
311,23
312,26
313,27
314,24
315,31
316,11
317,32
318,35
319,34
320,29
321,29
322,34
323,37
324,34
325,34
