Episode,Reward
1,35
2,20
3,360
4,105
5,255
6,275
7,25
8,20
9,310
10,350
11,355
12,710
13,360
14,400
15,515
16,345
17,250
18,495
19,375
20,385
21,415
22,300
23,500
24,215
25,610
26,700
27,760
28,500
29,585
30,500
31,500
32,725
33,570
34,475
35,780
36,615
37,505
38,515
39,715
40,550
41,715
42,635
43,705
44,660
45,440
46,675
47,615
48,390
49,700
50,610
51,435
52,665
53,600
54,375
55,700
56,510
57,540
58,595
59,445
60,365
61,545
62,485
63,595
64,590
65,675
66,600
67,650
68,665
69,710
70,835
71,460
72,510
73,650
74,725
75,675
76,500
77,670
78,635
79,575
80,690
81,775
82,625
83,675
84,365
85,660
86,560
87,610
88,700
89,605
90,700
91,720
92,740
93,410
94,725
95,705
96,650
97,615
98,540
99,675
100,740
101,835
102,90
103,635
104,740
105,650
106,690
107,725
108,615
109,410
110,795
111,610
112,685
113,825
114,545
115,500
116,685
117,665
118,645
119,675
120,675
121,525
122,675
123,550
124,475
125,705
126,595
127,695
128,540
129,585
130,615
131,580
132,650
133,740
134,670
135,625
136,575
137,615
138,580
139,485
140,470
141,560
142,770
143,445
144,645
145,715
146,625
147,775
148,575
149,570
150,510
151,410
152,575
153,710
154,615
155,625
156,710
157,645
158,625
159,550
160,630
161,490
162,485
163,735
164,600
165,760
166,560
167,600
168,620
169,695
170,510
171,835
172,835
173,685
174,450
175,665
176,625
177,715
178,635
179,495
180,525
181,650
182,585
183,745
184,670
185,400
186,550
187,710
188,825
189,695
190,730
191,475
192,650
193,565
194,600
195,700
196,565
197,685
198,540
199,525
200,750
201,675
202,535
203,520
204,715
205,470
206,730
207,825
208,615
209,680
210,765
211,345
212,725
213,700
214,600
215,665
216,750
217,715
218,625
219,730
220,665
221,630
222,610
223,465
224,600
225,675
226,715
227,585
228,675
229,525
230,325
231,635
232,710
233,680
234,655
235,750
236,625
237,420
238,575
239,640
240,560
241,780
242,750
243,600
244,615
245,565
246,735
247,770
248,625
249,290
250,560
251,490
