Episode,Reward
1,35
2,325
3,135
4,285
5,-25
6,265
7,0
8,-30
9,-10
10,240
11,10
12,-40
13,20
14,65
15,40
16,20
17,75
18,120
19,100
20,-20
21,-5
22,110
23,55
24,-10
25,-20
26,-50
27,-20
28,55
29,85
30,125
31,115
32,95
33,85
34,65
35,25
36,-20
37,130
38,10
39,85
40,-35
41,-5
42,10
43,10
44,-15
45,-40
46,-25
47,-40
48,-40
49,25
50,10
51,10
52,10
53,-40
54,-15
55,-40
56,-55
57,-55
58,80
59,-50
60,-5
61,-50
62,-20
63,140
64,40
65,40
66,-5
67,55
68,-5
69,-20
70,25
71,115
72,100
73,190
74,-30
75,125
76,65
77,45
78,-50
79,25
80,25
81,40
82,40
83,80
84,-40
85,-55
86,10
87,-5
88,75
89,-30
90,35
91,35
92,-30
93,210
94,70
95,-5
96,-5
97,70
98,55
99,80
100,55
101,55
102,-20
103,10
104,240
105,40
106,210
107,40
108,25
109,25
110,25
111,40
112,225
113,40
114,225
115,225
116,240
117,225
118,45
119,95
120,5
121,225
122,210
123,40
124,225
125,240
126,25
127,25
128,25
129,10
130,25
131,10
132,25
133,40
134,40
135,85
136,165
137,10
138,25
139,-55
140,90
141,-55
142,250
143,200
144,65
145,40
146,25
147,20
148,95
149,95
150,-15
151,70
152,-5
153,-55
154,240
155,25
156,10
157,-40
158,25
159,-55
160,-55
161,75
162,140
163,160
164,285
165,60
166,105
167,-15
168,-40
169,-40
170,-15
171,-15
172,-55
173,-55
174,-40
175,-25
176,5
177,100
178,105
179,175
180,380
181,210
182,-35
183,345
184,100
185,10
186,90
187,300
188,200
189,25
190,55
191,50
192,110
193,200
194,315
195,25
196,165
197,55
198,270
199,335
200,85
201,255
202,25
203,470
204,25
205,55
206,35
207,190
208,10
209,105
210,235
211,220
212,50
213,55
214,220
215,25
216,55
217,315
218,205
219,10
220,70
221,40
222,255
223,35
224,280
225,70
226,10
227,70
228,95
229,115
230,55
231,10
232,155
233,295
234,35
235,80
236,35
237,10
238,25
239,90
240,35
241,-5
242,70
243,195
244,275
245,295
246,180
247,35
248,40
249,50
250,120
251,230
252,85
253,50
254,255
255,170
256,90
257,65
258,80
259,35
260,60
261,60
262,45
263,85
264,100
265,165
266,255
267,170
268,270
269,280
270,190
271,90
272,205
273,200
274,125
275,70
276,85
277,150
278,125
279,90
280,115
281,155
282,265
283,115
284,255
285,125
286,100
287,130
288,90
289,225
290,50
291,245
292,420
293,50
294,150
295,100
296,160
297,280
298,160
299,100
300,150
301,35
302,25
303,150
304,240
305,115
306,35
307,190
308,75
309,395
310,420
311,445
312,280
313,355
314,390
315,190
316,140
317,195
318,305
319,305
320,230
321,340
322,140
323,340
324,250
325,445
326,380
327,330
328,165
329,445
330,255
331,380
332,575
333,380
334,395
335,180
336,165
337,355
338,500
339,430
340,515
341,165
342,535
343,610
344,135
345,160
346,270
347,515
348,500
349,125
350,335
351,175
352,330
353,315
354,255
355,295
356,165
357,110
358,165
359,200
360,505
361,345
362,240
363,275
364,290
365,280
366,230
367,115
368,175
369,205
370,105
371,215
372,335
373,200
374,295
375,495
376,175
377,240
378,230
379,310
380,280
381,140
382,160
383,315
384,205
385,230
386,140
387,285
388,205
389,380
390,345
391,255
392,330
393,300
394,200
395,380
396,165
397,265
398,240
399,175
400,115
401,215
402,205
403,190
404,215
405,165
406,430
407,205
408,205
409,505
410,445
411,495
412,250
413,380
414,290
415,235
416,265
417,265
418,165
419,530
420,290
421,380
422,280
423,530
424,215
425,230
426,300
427,340
428,445
429,185
430,455
431,200
432,220
433,200
434,140
435,250
436,290
437,225
438,190
439,365
440,390
441,140
442,165
443,215
444,470
445,140
446,455
447,170
448,255
449,270
450,365
451,330
452,240
453,235
454,200
455,205
456,215
457,355
458,415
459,320
460,300
461,350
462,575
463,265
464,140
465,255
466,240
467,285
468,365
469,175
470,265
471,325
472,320
473,250
474,355
475,280
476,115
477,275
478,190
479,265
480,330
481,380
482,405
483,360
484,665
485,250
486,335
487,275
488,240
489,335
490,360
491,490
492,230
493,265
494,285
495,315
496,525
497,600
498,405
499,255
500,240
501,330
502,305
503,390
504,345
505,285
506,580
507,190
508,375
509,190
510,295
511,225
512,280
513,370
514,230
515,225
516,215
517,395
518,490
519,405
520,215
521,465
522,200
523,230
524,225
525,530
526,575
527,200
528,325
529,365
530,365
531,225
532,205
533,215
534,225
535,280
536,165
537,415
538,455
539,315
540,220
541,250
542,305
543,190
544,255
545,225
546,350
547,380
548,390
549,195
550,395
551,290
552,280
553,215
554,230
555,310
556,190
557,315
558,455
559,230
560,520
561,110
562,345
563,240
564,400
565,380
566,215
567,225
568,250
569,530
570,265
571,280
572,300
573,550
574,90
575,315
576,290
577,240
578,685
579,250
580,225
581,285
582,315
583,290
584,290
585,250
586,365
587,330
