Episode,Steps
1,8
2,13
3,18
4,10
5,9
6,8
7,7
8,7
9,7
10,7
11,7
12,7
13,8
14,12
15,10
16,11
17,12
18,18
19,16
20,7
21,7
22,14
23,13
24,7
25,7
26,6
27,6
28,12
29,15
30,16
31,19
32,17
33,16
34,11
35,11
36,7
37,17
38,11
39,16
40,7
41,7
42,9
43,12
44,10
45,9
46,9
47,9
48,9
49,13
50,10
51,17
52,10
53,9
54,9
55,9
56,8
57,7
58,15
59,6
60,10
61,6
62,7
63,16
64,12
65,14
66,7
67,14
68,10
69,9
70,13
71,16
72,13
73,17
74,10
75,13
76,12
77,8
78,6
79,8
80,8
81,8
82,8
83,12
84,7
85,8
86,10
87,12
88,16
89,10
90,11
91,11
92,6
93,6
94,13
95,7
96,6
97,12
98,11
99,11
100,9
101,11
102,7
103,10
104,8
105,12
106,6
107,11
108,10
109,10
110,11
111,10
112,6
113,11
114,6
115,7
116,8
117,7
118,9
119,11
120,10
121,6
122,5
123,12
124,6
125,8
126,9
127,12
128,17
129,11
130,15
131,11
132,15
133,11
134,19
135,15
136,18
137,11
138,13
139,7
140,16
141,7
142,20
143,19
144,12
145,13
146,18
147,8
148,13
149,12
150,10
151,12
152,10
153,7
154,20
155,13
156,12
157,9
158,10
159,8
160,8
161,12
162,18
163,18
164,17
165,10
166,17
167,8
168,8
169,9
170,10
171,10
172,8
173,8
174,8
175,8
176,10
177,16
178,18
179,15
180,28
181,15
182,7
183,10
184,13
185,9
186,13
187,20
188,20
189,11
190,13
191,11
192,16
193,17
194,23
195,11
196,18
197,14
198,24
199,23
200,25
201,19
202,15
203,30
204,18
205,15
206,14
207,20
208,11
209,16
210,24
211,24
212,16
213,14
214,24
215,15
216,14
217,24
218,22
219,15
220,22
221,14
222,21
223,13
224,24
225,19
226,13
227,23
228,15
229,17
230,21
231,12
232,19
233,25
234,14
235,18
236,13
237,14
238,15
239,17
240,14
241,11
242,24
243,22
244,20
245,25
246,17
247,11
248,13
249,15
250,18
251,23
252,14
253,14
254,21
255,20
256,17
257,16
258,21
259,14
260,15
261,15
262,12
263,15
264,16
265,18
266,22
267,24
268,25
269,22
270,17
271,16
272,23
273,20
274,18
275,12
276,13
277,18
278,17
279,16
280,17
281,19
282,22
283,19
284,22
285,18
286,19
287,21
288,19
289,19
290,15
291,25
292,26
293,16
294,16
295,18
296,15
297,25
298,16
299,18
300,16
301,13
302,15
303,18
304,22
305,16
306,12
307,18
308,18
309,26
310,26
311,27
312,22
313,24
314,24
315,23
316,18
317,21
318,23
319,23
320,22
321,23
322,19
323,23
324,20
325,27
326,22
327,23
328,21
329,26
330,22
331,23
332,33
333,23
334,26
335,22
336,19
337,23
338,17
339,26
340,18
341,17
342,30
343,33
344,16
345,17
346,24
347,18
348,33
349,15
350,21
351,21
352,22
353,22
354,22
355,23
356,18
357,12
358,19
359,18
360,27
361,26
362,19
363,19
364,20
365,21
366,22
367,18
368,16
369,22
370,18
371,21
372,29
373,19
374,25
375,27
376,21
377,20
378,22
379,22
380,24
381,20
382,18
383,24
384,22
385,19
386,21
387,18
388,21
389,24
390,24
391,23
392,23
393,20
394,19
395,24
396,18
397,22
398,19
399,18
400,18
401,19
402,23
403,19
404,19
405,19
406,25
407,21
408,23
409,27
410,26
411,27
412,19
413,24
414,22
415,16
416,23
417,21
418,18
419,28
420,19
421,24
422,21
423,28
424,22
425,21
426,26
427,25
428,26
429,15
430,25
431,18
432,21
433,18
434,18
435,19
436,20
437,19
438,19
439,23
440,24
441,21
442,19
443,19
444,27
445,18
446,27
447,15
448,19
449,22
450,20
451,25
452,22
453,18
454,19
455,22
456,21
457,22
458,24
459,23
460,18
461,23
462,33
463,22
464,18
465,22
466,21
467,19
468,22
469,17
470,22
471,20
472,23
473,21
474,24
475,22
476,19
477,19
478,18
479,21
480,23
481,23
482,24
483,19
484,24
485,17
486,18
487,19
488,19
489,22
490,23
491,29
492,20
493,22
494,17
495,23
496,18
497,33
498,24
499,21
500,19
501,23
502,20
503,23
504,24
505,22
506,32
507,24
508,30
509,19
510,22
511,23
512,22
513,25
514,22
515,19
516,19
517,24
518,32
519,23
520,19
521,27
522,19
523,20
524,19
525,28
526,33
527,18
528,20
529,22
530,23
531,18
532,21
533,19
534,18
535,22
536,19
537,24
538,24
539,22
540,22
541,19
542,23
543,18
544,22
545,19
546,20
547,22
548,24
549,22
550,26
551,22
552,21
553,19
554,21
555,18
556,22
557,21
558,25
559,18
560,28
561,14
562,27
563,19
564,21
565,24
566,19
567,17
568,19
569,28
570,20
571,22
572,17
573,33
574,18
575,20
576,23
577,19
578,36
579,19
580,19
581,18
582,22
583,20
584,22
585,18
586,23
587,22
588,24
589,23
590,22
591,27
592,28
593,24
594,22
595,23
596,21
597,20
598,22
599,23
600,20
601,22
602,23
603,22
604,22
605,23
606,21
607,21
608,19
609,26
610,23
611,19
612,22
613,19
614,26
615,20
616,20
617,27
618,21
619,23
620,24
621,28
622,24
623,25
624,19
625,23
626,22
627,18
628,20
629,28
630,26
631,18
632,16
633,19
634,19
635,22
636,19
637,22
638,22
639,20
640,21
641,19
642,19
643,14
644,24
645,20
646,18
647,27
648,30
649,21
650,19
651,23
652,19
653,18
654,23
655,20
656,19
657,20
658,25
659,26
660,20
661,28
662,23
663,20
664,19
665,19
666,21
667,24
668,20
669,20
670,21
671,18
672,24
673,20
674,21
675,21
676,19
677,23
678,21
679,19
680,28
681,22
