Episode,Reward
1,105
2,105
3,10
4,25
5,110
6,100
7,110
8,-5
9,50
10,50
11,0
12,155
13,95
14,10
15,-40
16,0
17,-40
18,50
19,-55
20,95
21,-30
22,-40
23,110
24,50
25,50
26,-40
27,15
28,-40
29,240
30,255
31,240
32,225
33,35
34,-50
35,-50
36,-35
37,-50
38,-35
39,40
40,-5
41,100
42,40
43,40
44,85
45,95
46,70
47,55
48,40
49,-10
50,50
51,0
52,25
53,105
54,35
55,40
56,50
57,90
58,100
59,50
60,25
61,95
62,225
63,240
64,40
65,40
66,40
67,225
68,-50
69,-35
70,10
71,25
72,20
73,25
74,-5
75,225
76,225
77,-15
78,-15
79,-30
80,85
81,100
82,15
83,5
84,90
85,225
86,65
87,60
88,0
89,-50
90,-35
91,0
92,0
93,75
94,-15
95,35
96,40
97,65
98,20
99,-5
100,-55
101,-55
102,-55
103,-55
104,240
105,25
106,-40
107,-15
108,10
109,210
110,20
111,75
112,50
113,30
114,25
115,15
116,10
117,10
118,-40
119,-40
120,-15
121,60
122,50
123,40
124,25
125,75
126,225
127,45
128,50
129,50
130,20
131,20
132,20
133,-5
134,-55
135,-55
136,-40
137,-15
138,45
139,240
140,210
141,95
142,50
143,25
144,50
145,0
146,25
147,35
148,10
149,45
150,20
151,80
152,35
153,225
154,100
155,50
156,50
157,75
158,40
159,40
160,25
161,0
162,40
163,25
164,25
165,40
166,15
167,225
168,20
169,20
170,45
171,45
172,45
173,60
174,20
175,0
176,15
177,0
178,5
179,40
180,50
181,75
182,20
183,85
184,65
185,75
186,50
187,50
188,45
189,75
190,15
191,65
192,210
193,105
194,115
195,60
196,-20
197,5
198,210
199,25
200,20
201,50
202,235
203,70
204,20
205,20
206,210
207,90
208,50
209,55
210,105
211,65
212,100
213,85
214,225
215,45
216,20
217,115
218,45
219,35
220,125
221,-5
222,20
223,20
224,55
225,225
226,210
227,90
228,60
229,5
230,210
231,225
232,240
233,55
234,0
235,50
236,140
237,85
238,45
239,210
240,100
241,65
242,-5
243,-25
244,15
245,90
246,-5
247,225
248,65
249,65
250,60
251,-5
252,-5
253,225
254,40
255,75
256,70
257,60
258,225
259,75
260,75
261,25
262,-5
263,65
264,125
265,90
266,100
267,75
268,60
269,225
270,45
271,60
272,50
273,50
274,225
275,25
276,50
277,60
278,50
279,40
280,25
281,55
282,25
283,40
284,-40
285,25
286,50
287,25
288,-55
289,10
290,35
291,50
292,130
293,90
294,-30
295,-15
296,-40
297,55
298,40
299,350
300,210
301,90
302,25
303,85
304,210
305,110
306,100
307,-30
308,10
309,55
310,25
311,350
312,105
313,250
314,250
315,25
316,155
317,140
318,105
319,10
320,55
321,70
322,200
323,25
324,65
325,130
326,80
327,30
328,70
329,300
330,65
331,25
332,255
333,50
334,110
335,50
336,40
337,60
338,55
339,70
340,295
341,25
342,295
343,95
344,-10
345,70
346,25
347,255
348,160
349,95
350,60
351,85
352,265
353,415
354,180
355,330
356,60
357,120
358,125
359,350
360,315
361,365
362,195
363,110
364,340
365,175
366,175
367,300
368,10
369,280
370,315
371,365
372,80
373,335
374,200
375,110
376,365
377,70
378,190
379,60
380,150
381,115
382,390
383,175
384,135
385,35
386,185
387,200
388,305
389,145
390,460
391,265
392,335
393,160
394,245
395,480
396,220
397,685
398,420
399,315
400,175
401,160
402,455
403,175
404,105
405,265
406,355
407,115
408,175
409,340
410,225
411,130
412,160
413,305
414,415
415,140
416,150
417,135
418,300
419,290
420,250
421,390
422,370
423,170
424,450
425,275
426,430
427,310
428,520
429,390
430,225
431,440
432,175
433,225
434,170
435,315
436,330
437,720
438,190
439,440
440,185
441,180
442,505
443,225
444,440
445,305
446,330
447,130
448,100
449,485
450,285
451,160
452,215
453,130
454,155
455,340
456,320
457,175
458,365
459,235
460,395
461,380
462,305
463,190
464,220
465,265
466,485
467,415
468,175
469,305
470,390
471,185
472,430
473,175
474,215
475,245
476,210
477,180
478,310
479,420
480,225
481,315
482,225
483,290
484,360
485,315
486,160
487,135
488,145
489,190
490,180
491,165
492,165
493,185
494,265
495,250
496,155
497,340
498,415
499,365
500,160
501,250
502,315
503,135
504,325
505,250
506,135
507,125
508,390
509,200
510,240
511,250
512,480
513,260
514,265
515,415
516,195
517,150
518,370
519,265
520,365
521,165
522,215
523,250
524,455
525,90
526,120
527,210
528,290
529,255
530,250
531,205
532,405
533,335
534,65
535,200
536,315
537,230
538,290
539,300
540,150
541,240
542,405
543,345
544,240
545,215
546,225
547,310
548,175
549,225
550,430
551,330
552,355
553,465
554,365
555,405
556,175
557,205
558,170
559,240
560,390
561,315
562,450
563,185
564,185
565,140
566,650
567,285
568,275
569,215
570,295
571,355
572,350
573,175
574,190
575,260
576,245
577,300
578,365
579,335
580,260
581,440
582,330
583,265
584,480
585,525
586,275
587,395
588,225
589,480
590,250
591,260
592,305
593,450
594,275
595,345
596,275
597,495
598,430
599,190
600,330
601,265
602,470
603,265
604,340
605,430
606,225
607,275
608,225
609,220
610,225
611,405
612,315
613,250
614,290
615,455
616,365
617,245
618,325
619,365
620,415
621,285
622,340
623,365
624,365
625,250
626,190
627,430
628,415
629,430
630,430
631,270
632,300
633,315
634,240
635,355
636,235
637,340
638,345
639,380
640,295
641,515
642,305
643,380
644,325
645,435
646,340
647,330
648,465
649,350
650,240
651,380
652,495
653,190
654,345
655,480
656,340
657,395
658,265
659,310
660,225
661,300
662,270
663,390
664,305
665,280
666,355
667,330
668,265
669,395
670,265
671,365
672,470
673,205
674,250
675,245
676,175
677,380
678,505
679,265
680,335
681,440
682,250
683,440
684,275
685,325
686,290
687,415
688,455
689,480
690,350
691,395
692,275
693,540
694,510
695,240
696,420
697,245
698,415
699,290
700,275
701,240
702,285
703,340
704,275
705,405
706,425
707,265
708,275
709,325
710,335
711,310
712,250
713,465
714,430
715,290
716,340
717,310
718,325
719,415
720,430
721,275
722,375
723,225
724,365
725,285
726,430
727,300
728,285
729,335
730,350
731,405
732,285
733,290
734,540
735,395
736,350
737,190
738,290
739,430
740,265
741,165
742,230
743,320
744,305
745,310
746,265
747,225
748,290
749,305
750,470
751,325
752,310
753,350
754,315
755,265
756,170
757,280
758,250
759,240
760,290
761,250
762,385
763,310
764,415
765,365
766,275
767,380
768,315
769,525
770,225
771,430
772,420
773,275
774,415
775,310
776,465
777,250
778,175
779,300
780,355
781,350
782,285
783,465
784,275
785,345
786,240
787,290
788,315
789,215
790,365
791,275
792,390
793,390
794,285
795,380
796,405
797,215
798,275
799,240
800,300
801,275
802,300
803,215
804,265
805,275
806,325
807,240
808,445
809,530
810,240
811,465
812,260
813,390
814,295
815,275
816,350
817,285
818,360
819,215
820,330
821,265
822,370
823,315
824,330
825,260
826,240
827,335
828,305
829,300
830,240
831,350
832,415
833,360
834,325
835,440
836,440
837,455
838,360
839,250
840,325
841,300
842,430
843,325
844,300
845,270
846,315
847,250
848,390
849,315
850,355
851,340
852,250
853,250
854,315
855,290
856,265
857,300
858,290
859,300
860,375
861,275
862,415
863,300
864,325
865,240
866,545
867,140
868,290
869,365
870,215
871,215
872,265
873,250
874,325
875,225
876,350
877,190
878,275
879,275
880,340
881,240
882,440
883,340
884,440
885,225
886,415
887,300
888,325
889,340
890,340
891,290
892,315
893,265
894,440
895,290
896,290
897,335
898,470
899,440
900,225
901,520
902,190
903,255
904,345
905,355
906,495
907,330
908,315
909,255
910,265
911,380
912,240
913,325
914,275
915,265
916,190
917,275
918,385
919,290
920,300
921,440
922,430
923,315
924,315
925,315
926,190
927,375
928,350
929,265
930,250
931,275
932,265
933,230
934,365
935,150
936,305
937,350
938,445
939,420
940,340
941,300
942,300
943,440
944,265
945,360
946,390
947,490
948,465
949,325
950,300
951,300
952,250
953,440
954,275
955,240
956,225
957,470
958,460
959,250
960,325
961,225
962,645
963,300
964,365
965,270
966,305
967,235
968,310
969,210
970,185
971,55
972,10
973,-10
974,65
975,285
976,90
977,-10
978,-10
979,-10
980,-15
981,5
982,-10
983,60
984,5
985,5
986,-40
987,-10
988,25
989,0
990,-25
991,-25
992,130
993,5
994,10
995,10
996,10
997,10
998,40
999,40
1000,-10
1001,-10
1002,55
1003,40
1004,55
1005,40
1006,10
1007,40
1008,40
1009,40
1010,40
1011,40
1012,65
1013,40
1014,40
1015,25
1016,40
1017,65
1018,65
1019,40
1020,40
1021,40
1022,65
1023,55
1024,65
1025,115
1026,115
1027,110
1028,85
1029,60
1030,35
1031,60
1032,90
1033,65
1034,100
1035,85
1036,160
1037,185
1038,290
1039,165
1040,15
1041,15
1042,90
1043,115
1044,160
1045,215
1046,165
1047,135
1048,185
1049,285
1050,260
1051,160
1052,260
1053,165
1054,265
1055,235
1056,310
1057,260
1058,185
1059,260
1060,310
1061,360
1062,250
1063,430
1064,285
1065,260
1066,235
1067,285
1068,355
1069,240
1070,100
1071,215
1072,190
1073,165
1074,215
1075,215
1076,185
1077,240
1078,190
1079,190
1080,140
1081,140
1082,165
1083,140
1084,215
1085,310
1086,285
1087,275
1088,260
1089,285
1090,490
1091,285
1092,310
1093,300
1094,285
1095,285
1096,310
1097,235
1098,335
1099,285
1100,360
1101,285
1102,265
1103,335
1104,310
1105,165
1106,405
1107,310
1108,275
1109,285
1110,260
1111,160
1112,285
1113,310
1114,285
1115,285
1116,260
1117,310
1118,335
1119,285
1120,250
1121,235
1122,285
1123,275
1124,200
1125,215
1126,290
1127,390
1128,260
1129,335
1130,315
1131,380
1132,445
1133,310
1134,285
1135,335
1136,300
1137,290
1138,260
1139,310
1140,530
1141,285
1142,335
1143,495
1144,225
1145,420
1146,240
1147,265
1148,165
1149,190
1150,190
1151,240
1152,695
1153,285
1154,505
1155,325
1156,365
1157,190
1158,335
1159,310
1160,350
1161,300
1162,290
1163,325
1164,310
1165,480
1166,335
1167,400
1168,285
1169,365
1170,260
1171,310
1172,315
1173,310
1174,310
1175,330
1176,365
1177,460
1178,260
1179,405
1180,430
1181,335
1182,335
1183,350
1184,315
1185,380
1186,310
1187,480
1188,375
1189,455
1190,420
1191,315
1192,285
1193,335
1194,545
1195,345
1196,325
1197,315
1198,275
1199,275
1200,260
1201,405
1202,290
1203,520
1204,350
1205,325
1206,405
1207,350
1208,310
1209,200
1210,265
1211,365
1212,230
1213,290
1214,440
1215,470
1216,210
1217,275
1218,560
1219,340
1220,290
1221,395
1222,465
1223,440
1224,400
1225,265
1226,215
1227,330
1228,310
1229,265
1230,475
1231,415
1232,315
1233,275
1234,265
1235,290
1236,265
1237,375
1238,405
1239,155
1240,560
1241,505
1242,415
1243,255
1244,190
1245,285
1246,275
1247,280
1248,545
1249,455
1250,315
1251,290
1252,395
1253,455
1254,405
1255,325
1256,300
1257,290
1258,255
1259,325
1260,625
1261,240
1262,190
1263,265
1264,275
1265,300
1266,290
1267,350
1268,365
1269,365
1270,275
1271,330
1272,405
1273,215
1274,240
1275,400
1276,415
1277,570
1278,190
1279,275
1280,330
1281,240
1282,250
1283,215
1284,430
1285,190
1286,225
1287,290
1288,440
1289,355
1290,420
1291,275
1292,520
1293,355
1294,290
1295,215
1296,225
1297,445
1298,340
1299,470
1300,355
1301,310
1302,380
1303,430
1304,265
1305,330
1306,255
1307,350
1308,305
1309,420
1310,350
1311,275
1312,300
1313,280
1314,265
1315,395
1316,315
1317,295
1318,455
1319,455
1320,470
1321,295
1322,265
1323,265
1324,415
1325,265
1326,330
1327,325
1328,530
1329,340
1330,265
1331,520
1332,300
1333,380
1334,250
1335,275
1336,415
1337,430
1338,325
1339,465
1340,340
1341,465
1342,560
1343,315
1344,395
1345,570
1346,190
1347,545
1348,285
1349,135
1350,390
1351,430
1352,375
1353,540
1354,300
1355,170
1356,395
1357,325
1358,470
1359,465
1360,290
1361,275
1362,445
1363,375
1364,545
1365,290
1366,210
1367,425
1368,365
1369,275
1370,215
1371,440
1372,415
1373,295
1374,430
1375,165
1376,210
1377,430
1378,455
1379,265
1380,295
1381,450
1382,375
1383,440
1384,490
1385,495
1386,325
1387,330
1388,340
1389,540
1390,650
1391,300
1392,430
1393,390
1394,275
1395,315
1396,300
1397,390
1398,430
1399,415
1400,440
1401,350
1402,400
1403,365
1404,330
1405,380
1406,315
1407,225
1408,420
1409,250
1410,365
1411,430
1412,410
1413,285
1414,250
1415,465
1416,620
1417,260
1418,300
1419,415
1420,330
1421,400
1422,415
1423,250
1424,390
1425,535
1426,400
1427,480
1428,390
1429,365
1430,380
1431,520
1432,165
1433,250
1434,535
1435,295
1436,340
1437,455
1438,415
1439,365
1440,575
1441,275
1442,325
1443,265
1444,340
1445,345
1446,390
1447,290
1448,315
1449,390
1450,480
