Episode,Steps
1,12
2,12
3,7
4,7
5,16
6,15
7,14
8,6
9,8
10,13
11,10
12,19
13,16
14,9
15,9
16,10
17,6
18,9
19,7
20,16
21,9
22,8
23,16
24,15
25,13
26,10
27,10
28,7
29,10
30,9
31,8
32,7
33,9
34,6
35,6
36,6
37,7
38,6
39,11
40,9
41,19
42,12
43,13
44,17
45,17
46,16
47,18
48,15
49,7
50,9
51,7
52,8
53,11
54,9
55,8
56,8
57,10
58,9
59,8
60,8
61,11
62,6
63,8
64,13
65,13
66,12
67,6
68,6
69,7
70,9
71,10
72,7
73,6
74,9
75,6
76,6
77,7
78,8
79,7
80,11
81,12
82,6
83,7
84,11
85,7
86,11
87,13
88,6
89,6
90,6
91,7
92,6
93,7
94,9
95,9
96,7
97,10
98,7
99,7
100,8
101,7
102,8
103,6
104,8
105,15
106,10
107,9
108,9
109,5
110,7
111,11
112,6
113,7
114,6
115,9
116,17
117,11
118,9
119,9
120,9
121,9
122,6
123,7
124,6
125,13
126,6
127,8
128,6
129,6
130,7
131,7
132,8
133,8
134,6
135,7
136,8
137,9
138,8
139,8
140,5
141,10
142,6
143,6
144,7
145,6
146,8
147,8
148,8
149,9
150,8
151,9
152,8
153,6
154,10
155,6
156,6
157,6
158,7
159,8
160,6
161,6
162,7
163,6
164,6
165,8
166,7
167,6
168,8
169,7
170,8
171,8
172,8
173,9
174,9
175,6
176,7
177,6
178,7
179,7
180,6
181,6
182,7
183,10
184,8
185,7
186,6
187,6
188,9
189,11
190,7
191,8
192,5
193,9
194,12
195,10
196,7
197,7
198,5
199,15
200,8
201,6
202,9
203,8
204,7
205,6
206,5
207,12
208,15
209,12
210,15
211,10
212,12
213,10
214,6
215,7
216,7
217,13
218,9
219,11
220,12
221,7
222,8
223,8
224,10
225,7
226,5
227,11
228,10
229,7
230,5
231,6
232,7
233,10
234,6
235,9
236,14
237,10
238,9
239,5
240,11
241,12
242,8
243,6
244,7
245,13
246,7
247,6
248,12
249,13
250,10
251,7
252,9
253,6
254,13
255,12
256,9
257,8
258,8
259,10
260,11
261,13
262,7
263,13
264,13
265,14
266,13
267,10
268,11
269,6
270,9
271,14
272,16
273,10
274,6
275,14
276,17
277,13
278,10
279,19
280,16
281,16
282,13
283,15
284,9
285,14
286,15
287,10
288,8
289,11
290,11
291,15
292,17
293,13
294,8
295,9
296,9
297,16
298,16
299,11
300,5
301,14
302,14
303,16
304,5
305,18
306,12
307,8
308,11
309,17
310,12
311,11
312,14
313,16
314,7
315,10
316,18
317,15
318,19
319,13
320,13
321,14
322,17
323,14
324,14
325,19
326,15
327,10
328,20
329,29
330,13
331,12
332,21
333,17
