Episode,Reward
1,310
2,-25
3,5
4,135
5,85
6,120
7,70
8,125
9,135
10,20
11,130
12,-5
13,55
14,55
15,50
16,65
17,20
18,-40
19,-55
20,290
21,150
22,25
23,85
24,40
25,100
26,35
27,-25
28,-30
29,-40
30,-15
31,140
32,190
33,-10
34,-55
35,60
36,-55
37,-15
38,55
39,-55
40,75
41,70
42,10
43,10
44,-5
45,40
46,40
47,100
48,55
49,40
50,-20
51,25
52,20
53,-20
54,-20
55,-20
56,-5
57,75
58,225
59,185
60,60
61,75
62,75
63,110
64,-55
65,-55
66,160
67,60
68,-40
69,10
70,160
71,200
72,85
73,10
74,35
75,35
76,60
77,85
78,220
79,95
80,120
81,325
82,570
83,175
84,-35
85,-20
86,-25
87,-25
88,420
89,425
90,55
91,245
92,185
93,445
94,220
95,580
96,180
97,15
98,-50
99,220
100,235
101,645
102,55
103,260
104,80
105,315
106,105
107,440
108,75
109,280
110,330
111,270
112,270
113,160
114,145
115,65
116,375
117,70
118,165
119,70
120,240
121,55
122,25
123,310
124,185
125,180
126,190
127,70
128,35
129,330
130,235
131,145
132,315
133,260
134,385
135,415
136,250
137,90
138,240
139,130
140,430
141,90
142,210
143,85
144,125
145,75
146,265
147,125
148,170
149,315
150,365
151,90
152,365
153,290
154,175
155,290
156,-5
157,410
158,320
159,220
160,205
161,245
162,330
163,440
164,40
165,125
166,450
167,440
168,175
169,275
170,240
171,190
172,315
173,300
174,310
175,220
176,400
177,250
178,300
179,290
180,380
181,150
182,375
183,515
184,465
185,670
186,135
187,100
188,315
189,400
190,515
191,300
192,415
193,375
194,150
195,145
196,365
197,415
198,275
199,415
200,275
201,300
202,400
203,215
204,400
205,430
206,200
207,300
208,225
209,200
210,225
211,135
212,430
213,175
214,215
215,340
216,300
217,440
218,540
219,440
220,440
221,390
222,315
223,160
224,505
225,135
226,210
227,290
228,415
229,455
230,350
231,530
232,275
233,385
234,375
235,285
236,400
237,260
238,300
239,325
240,345
241,175
242,200
243,465
244,300
245,390
246,175
247,300
248,200
249,300
250,415
251,135
252,250
253,440
254,390
255,515
256,115
257,400
258,490
259,375
260,490
261,150
262,235
263,415
264,185
265,325
266,375
267,540
268,325
269,150
270,210
271,160
272,540
273,185
274,300
275,285
276,215
277,325
278,340
279,470
280,285
281,350
282,345
283,260
284,300
285,290
286,225
287,260
288,160
289,645
290,300
291,210
292,275
293,225
294,185
295,185
296,350
297,440
298,135
299,200
300,285
301,475
302,285
303,310
304,450
305,185
306,490
307,185
308,350
309,515
310,280
311,565
312,610
313,300
314,325
315,475
316,490
317,350
318,415
319,390
320,260
321,565
322,450
323,300
324,375
325,465
326,160
327,450
328,300
329,145
330,515
331,225
332,480
333,150
334,150
335,175
336,235
337,350
338,175
339,415
340,310
341,225
342,390
343,565
344,200
345,295
346,305
347,160
348,235
349,160
350,390
351,400
352,465
353,260
354,350
355,390
356,310
357,475
358,430
359,285
360,450
361,310
362,315
363,220
364,425
365,210
366,250
367,350
368,160
369,185
370,235
371,415
372,275
373,210
374,195
375,310
376,565
377,175
378,125
379,465
380,630
381,465
382,260
383,175
384,325
385,235
386,540
387,200
388,210
389,330
390,480
391,375
392,400
393,250
394,580
395,200
396,325
397,540
398,300
399,465
400,590
401,290
402,515
403,425
404,285
405,555
406,390
407,285
