Episode,Steps
1,14
2,8
3,10
4,15
5,12
6,12
7,11
8,10
9,10
10,6
11,14
12,9
13,13
14,12
15,11
16,14
17,11
18,9
19,7
20,10
21,16
22,10
23,16
24,11
25,17
26,14
27,9
28,7
29,11
30,10
31,15
32,26
33,10
34,8
35,13
36,7
37,8
38,17
39,8
40,15
41,16
42,11
43,9
44,8
45,13
46,14
47,14
48,15
49,13
50,9
51,9
52,9
53,9
54,8
55,7
56,11
57,12
58,23
59,16
60,13
61,13
62,14
63,14
64,9
65,8
66,15
67,13
68,9
69,10
70,15
71,16
72,12
73,9
74,9
75,10
76,12
77,11
78,21
79,16
80,20
81,22
82,33
83,16
84,7
85,8
86,7
87,8
88,26
89,30
90,18
91,23
92,16
93,28
94,16
95,31
96,17
97,8
98,7
99,17
100,17
101,33
102,17
103,22
104,14
105,26
106,14
107,26
108,16
109,22
110,24
111,25
112,25
113,19
114,19
115,12
116,33
117,15
118,23
119,21
120,25
121,14
122,16
123,31
124,21
125,21
126,18
127,18
128,14
129,22
130,22
131,22
132,22
133,24
134,29
135,27
136,18
137,21
138,22
139,23
140,28
141,21
142,28
143,16
144,21
145,19
146,27
147,27
148,25
149,24
150,24
151,19
152,27
153,23
154,22
155,27
156,13
157,28
158,23
159,22
160,21
161,23
162,26
163,26
164,19
165,19
166,25
167,27
168,23
169,22
170,19
171,20
172,26
173,24
174,23
175,25
176,24
177,23
178,23
179,24
180,25
181,22
182,23
183,28
184,28
185,34
186,19
187,18
188,24
189,24
190,28
191,23
192,27
193,24
194,21
195,16
196,26
197,24
198,23
199,26
200,23
201,23
202,24
203,22
204,25
205,29
206,22
207,23
208,23
209,22
210,22
211,19
212,27
213,21
214,22
215,24
216,23
217,27
218,28
219,25
220,26
221,26
222,24
223,19
224,28
225,19
226,19
227,22
228,26
229,27
230,25
231,28
232,23
233,26
234,23
235,20
236,23
237,20
238,23
239,23
240,27
241,19
242,23
243,26
244,23
245,25
246,19
247,22
248,23
249,23
250,27
251,18
252,23
253,28
254,24
255,28
256,19
257,25
258,27
259,23
260,27
261,20
262,20
263,26
264,18
265,25
266,24
267,27
268,22
269,22
270,19
271,17
272,27
273,18
274,22
275,20
276,20
277,24
278,23
279,27
280,19
281,24
282,27
283,20
284,22
285,23
286,22
287,20
288,19
289,32
290,23
291,19
292,23
293,22
294,19
295,19
296,23
297,27
298,17
299,23
300,18
301,25
302,19
303,21
304,25
305,16
306,27
307,20
308,23
309,27
310,21
311,29
312,33
313,22
314,20
315,25
316,27
317,22
318,26
319,24
320,18
321,28
322,25
323,23
324,24
325,28
326,19
327,24
328,24
329,15
330,27
331,23
332,27
333,18
334,19
335,22
336,19
337,23
338,19
339,27
340,19
341,19
342,24
343,28
344,21
345,22
346,23
347,18
348,19
349,18
350,27
351,23
352,26
353,19
354,22
355,27
356,19
357,24
358,24
359,20
360,24
361,19
362,23
363,17
364,24
365,18
366,23
367,23
368,19
369,17
370,18
371,27
372,21
373,19
374,21
375,20
376,29
377,18
378,16
379,25
380,33
381,27
382,19
383,21
384,24
385,21
386,28
387,22
388,17
389,24
390,27
391,21
392,23
393,22
394,31
395,21
396,22
397,28
398,19
399,27
400,29
401,22
402,26
403,23
404,19
405,20
406,26
407,20
408,23
409,21
410,15
411,18
412,27
413,29
414,23
415,24
416,22
417,20
418,25
419,23
420,27
421,22
422,22
423,20
424,26
425,24
426,20
427,28
428,23
429,22
430,25
431,23
432,19
433,19
434,21
435,22
436,22
437,31
438,19
439,18
440,19
441,20
442,32
443,19
444,20
445,22
446,29
447,28
448,18
449,18
450,28
451,19
452,16
453,27
454,18
455,28
456,21
457,27
458,22
459,26
460,24
461,26
462,24
463,16
464,18
465,23
466,21
467,24
468,22
469,18
470,19
471,21
472,20
473,24
474,18
475,20
476,24
477,22
478,25
479,24
480,27
481,23
482,22
483,20
484,25
485,23
486,18
487,25
488,20
489,23
490,19
491,25
492,23
493,23
494,19
495,24
496,24
497,24
498,24
499,18
500,16
501,22
502,20
503,24
504,23
505,24
506,17
507,19
508,18
509,21
510,19
511,25
512,19
513,19
514,20
515,20
516,25
517,28
518,27
519,21
520,22
521,19
522,23
523,22
524,23
525,23
526,24
527,18
528,22
529,27
530,24
531,22
532,21
533,22
534,21
535,26
536,18
537,24
538,19
539,28
540,26
541,23
542,17
543,25
544,22
545,25
546,23
547,21
548,24
549,23
550,26
551,22
552,20
553,25
554,15
555,20
556,20
557,23
558,24
559,16
560,24
561,19
562,24
563,20
564,23
565,24
566,24
567,18
568,28
569,19
570,24
571,24
572,16
573,20
574,18
575,28
576,21
577,19
578,23
579,20
580,21
581,20
582,19
583,24
584,24
585,23
586,27
587,24
588,25
589,24
590,24
591,26
592,22
593,23
594,28
595,20
596,27
597,24
598,25
599,22
600,25
601,24
602,19
603,22
604,19
605,20
606,23
607,28
608,20
609,27
610,22
611,21
612,24
613,20
614,28
615,20
616,18
617,25
618,20
619,17
620,20
621,25
622,22
623,17
624,26
625,19
626,18
627,17
628,30
629,19
630,19
631,19
632,24
633,23
634,22
635,28
636,18
637,21
638,28
639,19
640,25
641,17
642,24
643,19
644,23
645,20
646,24
647,20
648,24
649,29
650,21
651,20
652,24
653,20
654,24
655,21
656,18
657,22
658,19
659,20
660,22
661,24
662,24
663,19
664,19
665,20
666,21
667,20
668,19
669,24
670,20
671,28
672,19
673,25
674,20
675,25
676,24
677,25
678,27
679,19
680,22
681,19
682,17
683,21
684,20
685,19
686,25
687,20
688,25
689,22
690,23
691,22
692,27
693,27
694,20
695,19
696,24
697,18
698,21
699,20
700,21
701,28
702,24
703,19
704,24
705,24
706,18
707,24
708,23
709,24
710,24
711,23
712,25
713,20
714,27
715,20
716,20
717,19
718,22
719,18
720,20
721,24
722,19
723,19
724,21
725,18
726,24
727,21
728,24
729,24
730,14
731,24
732,25
733,24
734,20
735,26
736,20
737,25
738,24
739,24
740,19
741,20
742,24
743,22
744,19
745,22
746,23
747,19
748,25
749,20
750,20
751,29
752,18
753,23
754,18
755,24
756,22
757,22
758,22
759,23
760,17
761,23
762,18
763,19
764,21
765,22
766,21
767,19
768,25
769,20
770,23
771,19
772,21
773,21
774,20
775,20
776,25
777,23
778,24
779,27
780,19
781,19
782,22
783,21
784,24
785,20
786,25
787,26
788,24
789,27
790,16
791,21
792,30
793,30
794,18
795,19
796,18
797,20
798,20
799,21
800,20
801,24
802,20
803,23
804,27
805,20
806,19
807,21
808,28
809,22
810,24
811,24
812,19
813,27
814,24
815,19
816,19
817,31
818,28
819,21
820,19
821,22
822,20
823,29
824,21
825,17
826,24
827,20
828,21
829,34
830,21
831,19
832,25
833,23
834,25
835,19
836,29
837,27
838,20
839,17
840,21
841,26
842,20
843,26
